State,County,Population
Colorado,Dolores,2056
Colorado,Douglas,292167
Colorado,Eagle,51854
Colorado,Elbert,23174
Colorado,El Paso,636963
Colorado,Fremont,47347
Colorado,Garfield,56270
Colorado,Gilpin,5467
Colorado,Grand,14548
Colorado,Gunnison,15408
Colorado,Hinsdale,830
Colorado,Huerfano,6520
Colorado,Jackson,1370
Colorado,Jefferson,539884
Colorado,Kiowa,1433
Colorado,Kit Carson,8142
Colorado,Lake,7427
Colorado,La Plata,51917
Colorado,Larimer,305525
Colorado,Las Animas,15037
Colorado,Lincoln,5454
Colorado,Logan,22619
Colorado,Mesa,147083
Colorado,Mineral,708
Colorado,Moffat,13451
Colorado,Montezuma,25442
Colorado,Montrose,41011
Colorado,Morgan,28175
Colorado,Otero,18865
Colorado,Ouray,4356
Colorado,Park,16089
Colorado,Phillips,4399
Colorado,Pitkin,17102
Colorado,Prowers,12549
Colorado,Pueblo,160545
Colorado,Rio Blanco,6782
Colorado,Rio Grande,11956
Colorado,Routt,23239
Colorado,Saguache,6228
Colorado,San Juan,692
Colorado,San Miguel,7490
Colorado,Sedgwick,2364
Colorado,Summit,27972
Colorado,Teller,23356
Colorado,Washington,4770
Colorado,Weld,258638
Colorado,Yuma,10100
Connecticut,,3580709
Connecticut,Fairfield,925899
Connecticut,Hartford,894705
Connecticut,Litchfield,188789
Connecticut,Middlesex,166043
Connecticut,New Haven,861113
Connecticut,New London,273502
Connecticut,Tolland,152507
Connecticut,Windham,118151
Delaware,,907135
Delaware,Kent,164834
Delaware,New Castle,541971
Delaware,Sussex,200330
District of Columbia,,617996
District of Columbia,District of Columbia,617996
Florida,,19057542
Florida,Alachua,249365
Florida,Baker,27154
Florida,Bay,169856
Florida,Bradford,28255
Florida,Brevard,543566
Florida,Broward,1780172
Florida,Calhoun,14750
Florida,Charlotte,160511
Florida,Citrus,140031
Florida,Clay,192370
Florida,Collier,328134
Florida,Columbia,67485
Florida,DeSoto,34894
Florida,Dixie,16486
Florida,Duval,870709
Florida,Escambia,299114
Florida,Flagler,97376
Florida,Franklin,11596
Florida,Gadsden,46151
Florida,Gilchrist,17004
Florida,Glades,12635
Florida,Gulf,15844
Florida,Hamilton,14671
Florida,Hardee,27887
Florida,Hendry,39089
Florida,Hernando,173094
Florida,Highlands,98630
Florida,Hillsborough,1267775
Florida,Holmes,19873
Florida,Indian River,138894
Florida,Jackson,49292
Florida,Jefferson,14658
Florida,Lafayette,8942
Florida,Lake,301019
Florida,Lee,631330
Florida,Leon,277971
Florida,Levy,40156
Florida,Liberty,8314
Florida,Madison,19115
Florida,Manatee,327142
Florida,Marion,332529
Florida,Martin,147495
Florida,Miami-Dade,2554766
Florida,Monroe,73873
Florida,Nassau,74195
Florida,Okaloosa,183482
Florida,Okeechobee,40140
Florida,Orange,1169107
Florida,Osceola,276163
Florida,Palm Beach,1335187
Florida,Pasco,466457
Florida,Pinellas,917398
Florida,Polk,609492
Florida,Putnam,74041
Florida,St. Johns,195823
Florida,St. Lucie,280379
Florida,Santa Rosa,154104
Florida,Sarasota,382213
Florida,Seminole,425071
Florida,Sumter,97756
Florida,Suwannee,41972
Florida,Taylor,22691
Florida,Union,15388
Florida,Volusia,494804
Florida,Wakulla,30978
Florida,Walton,55793
Florida,Washington,24935
Georgia,,9815210
Georgia,Appling,18420
Georgia,Atkinson,8413
Georgia,Bacon,11203
Georgia,Baker,3085
Georgia,Baldwin,44417
Georgia,Banks,18251
Georgia,Barrow,69912
Georgia,Bartow,100421
Georgia,Ben Hill,17673
Georgia,Berrien,19372
Georgia,Bibb,156433
Georgia,Bleckley,13290
Georgia,Brantley,18367
Georgia,Brooks,15889
Georgia,Bryan,31377
Georgia,Bulloch,72881
Georgia,Burke,23504
Georgia,Butts,23504
Georgia,Calhoun,6740
Georgia,Camden,50410
Georgia,Candler,11276
Georgia,Carroll,111159
Georgia,Catoosa,64530
Georgia,Charlton,13422
Georgia,Chatham,271544
Georgia,Chattahoochee,11749
Georgia,Chattooga,25736
Georgia,Cherokee,218286
Georgia,Clarke,117344
Georgia,Clay,3111
Georgia,Clayton,261532
Georgia,Clinch,6777
Georgia,Cobb,697553
Georgia,Coffee,42864
Georgia,Colquitt,45645
Georgia,Columbia,128112
Georgia,Cook,17125
Georgia,Coweta,129629
Georgia,Crawford,12567
Georgia,Crisp,23710
Georgia,Dade,16570
Georgia,Dawson,22459
Georgia,Decatur,27694
Georgia,DeKalb,699893
Georgia,Dodge,21894
Georgia,Dooly,14587
Georgia,Dougherty,94788
Georgia,Douglas,133355
Georgia,Early,10778
Georgia,Echols,4129
Georgia,Effingham,52655
Georgia,Elbert,19886
Georgia,Emanuel,22567
Georgia,Evans,11065
Georgia,Fannin,23708
Georgia,Fayette,107784
Georgia,Floyd,95989
Georgia,Forsyth,181840
Georgia,Franklin,21864
Georgia,Fulton,949599
Georgia,Gilmer,28324
Georgia,Glascock,3084
Georgia,Glynn,80386
Georgia,Gordon,55621
Georgia,Grady,25255
Georgia,Greene,16031
Georgia,Gwinnett,824941
Georgia,Habersham,43279
Georgia,Hall,183052
Georgia,Hancock,9400
Georgia,Haralson,28638
Georgia,Harris,32265
Georgia,Hart,25305
Georgia,Heard,11744
Georgia,Henry,207360
Georgia,Houston,143925
Georgia,Irwin,9679
Georgia,Jackson,61257
Georgia,Jasper,13885
Georgia,Jeff Davis,15162
Georgia,Jefferson,16675
Georgia,Jenkins,8148
Georgia,Johnson,9975
Georgia,Jones,28516
Georgia,Lamar,18194
Georgia,Lanier,10404
Georgia,Laurens,47949
Georgia,Lee,28575
Georgia,Liberty,65451
Georgia,Lincoln,7862
Georgia,Long,15136
Georgia,Lowndes,111885
Georgia,Lumpkin,30031
Georgia,McDuffie,21673
Georgia,McIntosh,14170
Georgia,Macon,14405
Georgia,Madison,27921
Georgia,Marion,8746
Georgia,Meriwether,21617
Georgia,Miller,6141
Georgia,Mitchell,23462
Georgia,Monroe,26625
Georgia,Montgomery,9065
Georgia,Morgan,17961
Georgia,Murray,39557
Georgia,Muscogee,194107
Georgia,Newton,100814
Georgia,Oconee,33366
Georgia,Oglethorpe,14686
Georgia,Paulding,143542
Georgia,Peach,27823
Georgia,Pickens,29415
Georgia,Pierce,18770
Georgia,Pike,17751
Georgia,Polk,41211
Georgia,Pulaski,11735
Georgia,Putnam,21345
Georgia,Quitman,2464
Georgia,Rabun,16274
Georgia,Randolph,7558
Georgia,Richmond,201217
Georgia,Rockdale,85765
Georgia,Schley,5020
Georgia,Screven,14367
Georgia,Seminole,8791
Georgia,Spalding,64033
Georgia,Stephens,25960
Georgia,Stewart,5910
Georgia,Sumter,32511
Georgia,Talbot,6751
Georgia,Taliaferro,1703
Georgia,Tattnall,25688
Georgia,Taylor,8499
Georgia,Telfair,16057
Georgia,Terrell,9319
Georgia,Thomas,44702
Georgia,Tift,41461
Georgia,Toombs,27434
Georgia,Towns,10611
Georgia,Treutlen,6825
Georgia,Troup,67764
Georgia,Turner,8875
Georgia,Twiggs,8779
Georgia,Union,21134
Georgia,Upson,26977
Georgia,Walker,68848
Georgia,Walton,84580
Georgia,Ware,36474
Georgia,Warren,5721
Georgia,Washington,21111
Georgia,Wayne,30327
Georgia,Webster,2791
Georgia,Wheeler,7939
Georgia,White,27273
Georgia,Whitfield,103184
Georgia,Wilcox,9298
Georgia,Wilkes,10211
Georgia,Wilkinson,9444
Georgia,Worth,21921
Hawaii,,1374810
Hawaii,Hawaii,186738
Hawaii,Honolulu,963607
Hawaii,Kalawao,90
Hawaii,Kauai,67701
Hawaii,Maui,156674
Idaho,,1584985
Idaho,Ada,400842
Idaho,Adams,3977
Idaho,Bannock,83691
Idaho,Bear Lake,6001
Idaho,Benewah,9209
Idaho,Bingham,45952
Idaho,Blaine,21199
Idaho,Boise,7025
Idaho,Bonner,40808
Idaho,Bonneville,105772
Idaho,Boundary,10804
Idaho,Butte,2822
Idaho,Camas,1124
Idaho,Canyon,191694
Idaho,Caribou,6850
Idaho,Cassia,23186
Idaho,Clark,949
Idaho,Clearwater,8702
Idaho,Custer,4333
Idaho,Elmore,26346
Idaho,Franklin,12850
Idaho,Fremont,13128
Idaho,Gem,16665
Idaho,Gooding,15475
Idaho,Idaho,16446
Idaho,Jefferson,26301
Idaho,Jerome,22682
Idaho,Kootenai,141132
Idaho,Latah,37704
Idaho,Lemhi,7967
Idaho,Lewis,3822
Idaho,Lincoln,5186
Idaho,Madison,37864
Idaho,Minidoka,20155
Idaho,Nez Perce,39543
Idaho,Oneida,4215
Idaho,Owyhee,11438
Idaho,Payette,22624
Idaho,Power,7766
Idaho,Shoshone,12672
Idaho,Teton,10166
Idaho,Twin Falls,78005
Idaho,Valley,9638
Idaho,Washington,10255
Illinois,,12869257
Illinois,Adams,67159
Illinois,Alexander,8036
Illinois,Bond,17727
Illinois,Boone,54367
Illinois,Brown,6878
Illinois,Bureau,34606
Illinois,Calhoun,5048
Illinois,Carroll,15163
Illinois,Cass,13579
Illinois,Champaign,201685
Illinois,Christian,34865
Illinois,Clark,16161
Illinois,Clay,13728
Illinois,Clinton,37956
Illinois,Coles,53916
Illinois,Cook,5217080
Illinois,Crawford,19857
Illinois,Cumberland,11096
Illinois,DeKalb,104743
Illinois,De Witt,16578
Illinois,Douglas,19836
Illinois,DuPage,923222
Illinois,Edgar,18393
Illinois,Edwards,6618
Illinois,Effingham,34280
Illinois,Fayette,22133
Illinois,Ford,13976
Illinois,Franklin,39627
Illinois,Fulton,36962
Illinois,Gallatin,5528
Illinois,Greene,13798
Illinois,Grundy,50130
Illinois,Hamilton,8425
Illinois,Hancock,19031
Illinois,Hardin,4281
Illinois,Henderson,7196
Illinois,Henry,50328
Illinois,Iroquois,29475
Illinois,Jackson,60365
Illinois,Jasper,9717
Illinois,Jefferson,38713
Illinois,Jersey,22916
Illinois,Jo Daviess,22712
Illinois,Johnson,12654
Illinois,Kane,520271
Illinois,Kankakee,113698
Illinois,Kendall,116631
Illinois,Knox,52917
Illinois,Lake,706222
Illinois,LaSalle,113518
Illinois,Lawrence,16745
Illinois,Lee,35467
Illinois,Livingston,38885
Illinois,Logan,30140
Illinois,McDonough,32582
Illinois,McHenry,308944
Illinois,McLean,170556
Illinois,Macon,110730
Illinois,Macoupin,47687
Illinois,Madison,268459
Illinois,Marion,39335
Illinois,Marshall,12533
Illinois,Mason,14485
Illinois,Massac,15442
Illinois,Menard,12703
Illinois,Mercer,16363
Illinois,Monroe,33306
Illinois,Montgomery,29848
Illinois,Morgan,35543
Illinois,Moultrie,14824
Illinois,Ogle,53115
Illinois,Peoria,186834
Illinois,Perry,22264
Illinois,Piatt,16675
Illinois,Pike,16398
Illinois,Pope,4370
Illinois,Pulaski,6046
Illinois,Putnam,5968
Illinois,Randolph,33361
Illinois,Richland,16230
Illinois,Rock Island,147556
Illinois,St. Clair,270259
Illinois,Saline,24981
Illinois,Sangamon,198844
Illinois,Schuyler,7479
Illinois,Scott,5271
Illinois,Shelby,22212
Illinois,Stark,5667
Illinois,Stephenson,47563
Illinois,Tazewell,135661
Illinois,Union,17708
Illinois,Vermilion,81509
Illinois,Wabash,11834
Illinois,Warren,17818
Illinois,Washington,14533
Illinois,Wayne,16651
Illinois,White,14663
Illinois,Whiteside,58388
Illinois,Will,681545
Illinois,Williamson,66622
Illinois,Winnebago,293993
Illinois,Woodford,38861
Indiana,,6516922
Indiana,Adams,34370
Indiana,Allen,358327
Indiana,Bartholomew,77870
Indiana,Benton,8853
Indiana,Blackford,12594
Indiana,Boone,57481
Indiana,Brown,15099
Indiana,Carroll,20031
Indiana,Cass,38828
Indiana,Clark,111570
Indiana,Clay,26894
Indiana,Clinton,33104
Indiana,Crawford,10658
Indiana,Daviess,31978
Indiana,Dearborn,50113
Indiana,Decatur,25944
Indiana,DeKalb,42462
Indiana,Delaware,117660
Indiana,Dubois,42199
Indiana,Elkhart,198941
Indiana,Fayette,24285
Indiana,Floyd,74989
Indiana,Fountain,17213
Indiana,Franklin,23041
Indiana,Fulton,20872
Indiana,Gibson,33505
Indiana,Grant,69793
Indiana,Greene,32895
Indiana,Hamilton,282810
Indiana,Hancock,70529
Indiana,Harrison,39336
Indiana,Hendricks,147979
Indiana,Henry,49264
Indiana,Howard,82800
Indiana,Huntington,37211
Indiana,Jackson,42966
Indiana,Jasper,33416
Indiana,Jay,21310
Indiana,Jefferson,32249
Indiana,Jennings,28196
Indiana,Johnson,141656
Indiana,Knox,38500
Indiana,Kosciusko,77336
Indiana,LaGrange,37382
Indiana,Lake,495558
Indiana,LaPorte,111374
Indiana,Lawrence,46195
Indiana,Madison,131235
Indiana,Marion,911296
Indiana,Marshall,47050
Indiana,Martin,10332
Indiana,Miami,36611
Indiana,Monroe,139799
Indiana,Montgomery,38441
Indiana,Morgan,69464
Indiana,Newton,14161
Indiana,Noble,47553
Indiana,Ohio,6065
Indiana,Orange,19969
Indiana,Owen,21499
Indiana,Parke,17237
Indiana,Perry,19354
Indiana,Pike,12728
Indiana,Porter,165537
Indiana,Posey,25720
Indiana,Pulaski,13363
Indiana,Putnam,37917
Indiana,Randolph,26105
Indiana,Ripley,28759
Indiana,Rush,17287
Indiana,St. Joseph,266700
Indiana,Scott,23987
Indiana,Shelby,44337
Indiana,Spencer,20961
Indiana,Starke,23199
Indiana,Steuben,34028
Indiana,Sullivan,21356
Indiana,Switzerland,10569
Indiana,Tippecanoe,174724
Indiana,Tipton,15788
Indiana,Union,7513
Indiana,Vanderburgh,180305
Indiana,Vermillion,16231
Indiana,Vigo,108182
Indiana,Wabash,32608
Indiana,Warren,8431
Indiana,Warrick,60275
Indiana,Washington,28147
Indiana,Wayne,68643
Indiana,Wells,27734
Indiana,White,24694
Indiana,Whitley,33392
Iowa,,3062309
Iowa,Adair,7527
Iowa,Adams,4004
Iowa,Allamakee,14274
Iowa,Appanoose,12797
Iowa,Audubon,6034
Iowa,Benton,26092
Iowa,Black Hawk,131549
Iowa,Boone,26255
Iowa,Bremer,24281
Iowa,Buchanan,20923
Iowa,Buena Vista,20406
Iowa,Butler,14939
Iowa,Calhoun,9626
Iowa,Carroll,20861
Iowa,Cass,13817
Iowa,Cedar,18400
Iowa,Cerro Gordo,43938
Iowa,Cherokee,12069
Iowa,Chickasaw,12449
Iowa,Clarke,9356
Iowa,Clay,16590
Iowa,Clayton,18014
Iowa,Clinton,49015
Iowa,Crawford,17277
Iowa,Dallas,69444
Iowa,Davis,8787
Iowa,Decatur,8284
Iowa,Delaware,17658
Iowa,Des Moines,40169
Iowa,Dickinson,16899
Iowa,Dubuque,94648
Iowa,Emmet,10104
Iowa,Fayette,20973
Iowa,Floyd,16070
Iowa,Franklin,10730
Iowa,Fremont,7367
Iowa,Greene,9285
Iowa,Grundy,12459
Iowa,Guthrie,10901
Iowa,Hamilton,15538
Iowa,Hancock,11287
Iowa,Hardin,17426
Iowa,Harrison,14828
Iowa,Henry,20284
Iowa,Howard,9565
Iowa,Humboldt,9802
Iowa,Ida,7086
Iowa,Iowa,16320
Iowa,Jackson,19796
Iowa,Jasper,36547
Iowa,Jefferson,16815
Iowa,Johnson,133038
Iowa,Jones,20608
Iowa,Keokuk,10378
Iowa,Kossuth,15396
Iowa,Lee,35621
Iowa,Linn,213875
Iowa,Louisa,11369
Iowa,Lucas,8847
Iowa,Lyon,11670
Iowa,Madison,15779
Iowa,Mahaska,22530
Iowa,Marion,33335
Iowa,Marshall,40980
Iowa,Mills,14992
Iowa,Mitchell,10783
Iowa,Monona,9239
Iowa,Monroe,8056
Iowa,Montgomery,10640
Iowa,Muscatine,42815
Iowa,O'Brien,14210
Iowa,Osceola,6357
Iowa,Page,15987
Iowa,Palo Alto,9419
Iowa,Plymouth,24896
Iowa,Pocahontas,7180
Iowa,Polk,437399
Iowa,Pottawattamie,93518
Iowa,Poweshiek,18804
Iowa,Ringgold,5119
Iowa,Sac,10241
Iowa,Scott,167095
Iowa,Shelby,12039
Iowa,Sioux,33900
Iowa,Story,89663
Iowa,Tama,17695
Iowa,Taylor,6305
Iowa,Union,12545
Iowa,Van Buren,7510
Iowa,Wapello,35421
Iowa,Warren,46732
Iowa,Washington,21855
Iowa,Wayne,6309
Iowa,Webster,37660
Iowa,Winnebago,10789
Iowa,Winneshiek,21024
Iowa,Woodbury,102509
Iowa,Worth,7544
Iowa,Wright,13068
Kansas,,2871238
Kansas,Allen,13331
Kansas,Anderson,8070
Kansas,Atchison,16793
Kansas,Barber,4888
Kansas,Barton,27841
Kansas,Bourbon,14985
Kansas,Brown,10010
Kansas,Butler,65817
Kansas,Chase,2817
Kansas,Chautauqua,3584
Kansas,Cherokee,21385
Kansas,Cheyenne,2718
Kansas,Clark,2143
Kansas,Clay,8573
Kansas,Cloud,9365
Kansas,Coffey,8533
Kansas,Comanche,1884
Kansas,Cowley,36272
Kansas,Crawford,39220
Kansas,Decatur,2915
Kansas,Dickinson,19739
Kansas,Doniphan,7945
Kansas,Douglas,112211
Kansas,Edwards,3020
Kansas,Elk,2811
Kansas,Ellis,28742
Kansas,Ellsworth,6483
Kansas,Finney,37083
Kansas,Ford,34568
Kansas,Franklin,25931
Kansas,Geary,35323
Kansas,Gove,2697
Kansas,Graham,2641
Kansas,Grant,7964
Kansas,Gray,6113
Kansas,Greeley,1258
Kansas,Greenwood,6644
Kansas,Hamilton,2666
Kansas,Harper,5993
Kansas,Harvey,34846
Kansas,Haskell,4285
Kansas,Hodgeman,1966
Kansas,Jackson,13433
Kansas,Jefferson,18941
Kansas,Jewell,3096
Kansas,Johnson,552991
Kansas,Kearny,3987
Kansas,Kingman,7853
Kansas,Kiowa,2549
Kansas,Labette,21511
Kansas,Lane,1749
Kansas,Leavenworth,77176
Kansas,Lincoln,3215
Kansas,Linn,9612
Kansas,Logan,2783
Kansas,Lyon,33764
Kansas,McPherson,29241
Kansas,Marion,12538
Kansas,Marshall,10005
Kansas,Meade,4531
Kansas,Miami,32715
Kansas,Mitchell,6295
Kansas,Montgomery,34911
Kansas,Morris,5888
Kansas,Morton,3198
Kansas,Nemaha,10113
Kansas,Neosho,16449
Kansas,Ness,3120
Kansas,Norton,5635
Kansas,Osage,16306
Kansas,Osborne,3847
Kansas,Ottawa,6119
Kansas,Pawnee,7011
Kansas,Phillips,5555
Kansas,Pottawatomie,21920
Kansas,Pratt,9676
Kansas,Rawlins,2512
Kansas,Reno,64607
Kansas,Republic,4907
Kansas,Rice,10076
Kansas,Riley,72997
Kansas,Rooks,5182
Kansas,Rush,3238
Kansas,Russell,6956
Kansas,Saline,55844
Kansas,Scott,4910
Kansas,Sedgwick,501076
Kansas,Seward,23328
Kansas,Shawnee,178941
Kansas,Sheridan,2552
Kansas,Sherman,6054
Kansas,Smith,3834
Kansas,Stafford,4371
Kansas,Stanton,2250
Kansas,Stevens,5613
Kansas,Sumner,23787
Kansas,Thomas,7977
Kansas,Trego,2930
Kansas,Wabaunsee,7026
Kansas,Wallace,1527
Kansas,Washington,5845
Kansas,Wichita,2276
Kansas,Wilson,9300
Kansas,Woodson,3292
Kansas,Wyandotte,158224
Kentucky,,4369356
Kentucky,Adair,18686
Kentucky,Allen,20140
Kentucky,Anderson,21644
Kentucky,Ballard,8253
Kentucky,Barren,42269
Kentucky,Bath,11742
Kentucky,Bell,28725
Kentucky,Boone,121737
Kentucky,Bourbon,19998
Kentucky,Boyd,49466
Kentucky,Boyle,28550
Kentucky,Bracken,8513
Kentucky,Breathitt,13842
Kentucky,Breckinridge,20256
Kentucky,Bullitt,75109
Kentucky,Butler,12827
Kentucky,Caldwell,12973
Kentucky,Calloway,37544
Kentucky,Campbell,90940
Kentucky,Carlisle,5048
Kentucky,Carroll,11013
Kentucky,Carter,27586
Kentucky,Casey,15909
Kentucky,Christian,73591
Kentucky,Clark,35537
Kentucky,Clay,21720
Kentucky,Clinton,10201
Kentucky,Crittenden,9336
Kentucky,Cumberland,6832
Kentucky,Daviess,97234
Kentucky,Edmonson,12090
Kentucky,Elliott,7707
Kentucky,Estill,14666
Kentucky,Fayette,301569
Kentucky,Fleming,14512
Kentucky,Floyd,39207
Kentucky,Franklin,49393
Kentucky,Fulton,6755
Kentucky,Gallatin,8612
Kentucky,Garrard,16885
Kentucky,Grant,24816
Kentucky,Graves,37519
Kentucky,Grayson,25957
Kentucky,Green,11220
Kentucky,Greenup,36865
Kentucky,Hancock,8572
Kentucky,Hardin,107456
Kentucky,Harlan,29060
Kentucky,Harrison,18777
Kentucky,Hart,18235
Kentucky,Henderson,46406
Kentucky,Henry,15443
Kentucky,Hickman,4784
Kentucky,Hopkins,46909
Kentucky,Jackson,13443
Kentucky,Jefferson,746906
Kentucky,Jessamine,49046
Kentucky,Johnson,23396
Kentucky,Kenton,160406
Kentucky,Knott,16289
Kentucky,Knox,31888
Kentucky,Larue,14315
Kentucky,Laurel,59355
Kentucky,Lawrence,16035
Kentucky,Lee,7817
Kentucky,Leslie,11233
Kentucky,Letcher,24446
Kentucky,Lewis,13878
